Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Intro.tex";String number:22| Ожидался символ в нижнем регистре в начале текста списка, найден "И"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter1.tex";String number:373| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter1.tex";String number:375| Ожидался символ в нижнем регистре в начале текста списка, найден "О"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter1.tex";String number:375| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter1.tex";String number:377| Ожидался символ в нижнем регистре в начале текста списка, найден "М"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter2.tex";String number:39| Ожидался символ в нижнем регистре в начале текста списка, найден "О"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter2.tex";String number:39| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter2.tex";String number:41| Ожидался символ в нижнем регистре в начале текста списка, найден "Б"
Warning --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter2.tex";String number:106| Отсутствует пунктуационный переход перед окружением "список" или "перечисление"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:145| Ожидался символ в нижнем регистре в начале текста списка, найден "К"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:145| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:147| Ожидался символ в нижнем регистре в начале текста списка, найден "П"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:147| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:149| Ожидался символ в нижнем регистре в начале текста списка, найден "П"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:149| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:151| Ожидался символ в нижнем регистре в начале текста списка, найден "Ф"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:151| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:153| Ожидался символ в нижнем регистре в начале текста списка, найден "Т"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:153| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:155| Ожидался символ в нижнем регистре в начале текста списка, найден "О"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:155| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:157| Ожидался символ в нижнем регистре в начале текста списка, найден "П"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:195| Ожидался символ в нижнем регистре в начале текста списка, найден "P"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:195| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:197| Ожидался символ в нижнем регистре в начале текста списка, найден "P"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:197| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:199| Ожидался символ в нижнем регистре в начале текста списка, найден "P"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:199| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:201| Ожидался символ в нижнем регистре в начале текста списка, найден "P"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:201| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:203| Ожидался символ в нижнем регистре в начале текста списка, найден "P"
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:203| Ожидался символ окончания элемента листа: [;], найден .
Error --- 	|File:"Krossplatformennaya_informatsionnaya_sistema_dlya_obmena_soobscheniami\Chapter3.tex";String number:205| Ожидался символ в нижнем регистре в начале текста списка, найден "P"

